-1.200000 2.073600
-1.176000 1.912623
-1.152000 1.761205
-1.128000 1.618961
-1.104000 1.485512
-1.080000 1.360489
-1.056000 1.243528
-1.032000 1.134276
-1.008000 1.032386
-0.984000 0.937520
-0.960000 0.849347
-0.936000 0.767544
-0.912000 0.691798
-0.888000 0.621802
-0.864000 0.557256
-0.840000 0.497871
-0.816000 0.443364
-0.792000 0.393460
-0.768000 0.347892
-0.744000 0.306402
-0.720000 0.268739
-0.696000 0.234659
-0.672000 0.203928
-0.648000 0.176319
-0.624000 0.151614
-0.600000 0.129600
-0.576000 0.110075
-0.552000 0.092845
-0.528000 0.077721
-0.504000 0.064524
-0.480000 0.053084
-0.456000 0.043237
-0.432000 0.034829
-0.408000 0.027710
-0.384000 0.021743
-0.360000 0.016796
-0.336000 0.012746
-0.312000 0.009476
-0.288000 0.006880
-0.264000 0.004858
-0.240000 0.003318
-0.216000 0.002177
-0.192000 0.001359
-0.168000 0.000797
-0.144000 0.000430
-0.120000 0.000207
-0.096000 0.000085
-0.072000 0.000027
-0.048000 0.000005
-0.024000 0.000000
0.000000 0.000000
0.024000 0.000000
0.048000 0.000005
0.072000 0.000027
0.096000 0.000085
0.120000 0.000207
0.144000 0.000430
0.168000 0.000797
0.192000 0.001359
0.216000 0.002177
0.240000 0.003318
0.264000 0.004858
0.288000 0.006880
0.312000 0.009476
0.336000 0.012746
0.360000 0.016796
0.384000 0.021743
0.408000 0.027710
0.432000 0.034829
0.456000 0.043237
0.480000 0.053084
0.504000 0.064524
0.528000 0.077721
0.552000 0.092845
0.576000 0.110075
0.600000 0.129600
0.624000 0.151614
0.648000 0.176319
0.672000 0.203928
0.696000 0.234659
0.720000 0.268739
0.744000 0.306402
0.768000 0.347892
0.792000 0.393460
0.816000 0.443364
0.840000 0.497871
0.864000 0.557256
0.888000 0.621802
0.912000 0.691798
0.936000 0.767544
0.960000 0.849347
0.984000 0.937520
1.008000 1.032386
1.032000 1.134276
1.056000 1.243528
1.080000 1.360489
1.104000 1.485512
1.128000 1.618961
1.152000 1.761205
1.176000 1.912623
1.200000 2.073600
